ProductName,ProductPrice,Discount,NumberofReviews,Rate,Review,Summary
 Stone 1000v2 ,"
Sale price₹ 3,999",43% off,7 reviews,"★
  5.0
    ",Fantastic product,Very good product in this price range..
 Stone 1000v2 ,"Sale price₹ 3,999",43% off,7 reviews,"★
  5.0
    ",Outstanding,Outstanding Product
 Stone 1000v2 ,"
Sale price₹ 3,999",43% off,7 reviews,"★
  5.0
    ",Awesome,Works like a charm. Good sound quality. Visually more attractive than v1.
 Stone 1000v2 ,"
Sale price₹ 3,999",43% off,7 reviews,"★
  5.0
    ",Boat stone 1000 v2,Great
 Stone 1000v2 ,"
Sale price₹ 3,999",43% off,7 reviews,"★
  5.0
    ",Quality sound,Amazing sound quality.totally premium.&.affordable.
 Stone 1000v2 ,"
Sale price₹ 3,999",43% off,7 reviews,"★
  5.0
    ",,boAt Stone 1000v2
 Stone Grenade ,"
Sale price₹ 1,499",62% off,92 reviews,"★
  4.9
    ",,Nice product
 Stone Grenade ,"
Sale price₹ 1,499",62% off,92 reviews,"★
  4.9
    ",,"boAt Stone Grenade | Bluetooth Speakers with 1.75” Full-range Drivers, High Fidelity Stereo Sound, Up to 7hrs Nonstop Playback"
 Stone Grenade ,"
Sale price₹ 1,499",62% off,92 reviews,"★
  4.9
    ",Very nice quality and where is amazing flight best product on the boat granite,Very nice quality and where is amazing flight best
 Stone Grenade ,"
Sale price₹ 1,499",62% off,92 reviews,"★
  4.9
    ",Best quality,Sound like a good
 Stone Grenade ,"
Sale price₹ 1,499",62% off,92 reviews,"★
  4.9
    ",Very good,Add usb hub also
 Stone Grenade ,"
Sale price₹ 1,499",62% off,92 reviews,"★
  4.9
    ",,boAt Stone Grenade
 Stone 190 ,"
Sale price₹ 1,299",57% off,108 reviews,"★
  4.8
    ",Sound quality,Great audio. Quite loud.
 Stone 190 ,"
Sale price₹ 1,299",57% off,108 reviews,"★
  4.8
    ",,"boAt Stone 190 | Wireless Portable Speaker with 52mm Dynamic Driver, Up to 4hrs Nonstop Playback, IPX 6 Water Resistant"
 Stone 190 ,"
Sale price₹ 1,299",57% off,108 reviews,"★
  4.8
    ",,The product is amazing
 Stone 190 ,"
Sale price₹ 1,299",57% off,108 reviews,"★
  4.8
    ",,Good
 Stone 190 ,"
Sale price₹ 1,299",57% off,108 reviews,"★
  4.8
    ",WONDERFULL,WONDERFULL
 Stone 190 ,"
Sale price₹ 1,299",57% off,108 reviews,"★
  4.8
    ",,boAt Stone 190
Stone 352 ,"
Sale price₹ 1,699",51% off,26 reviews,"★
  4.8
    ",,"Stone 352 | Wireless Portable Bluetooth Speaker with 10W boAt Signature Sound, Up to 12hrs Nonstop Playback"
Stone 352 ,"
Sale price₹ 1,699",51% off,26 reviews,"★
  4.8
    ",,Great product
Stone 352 ,"
Sale price₹ 1,699",51% off,26 reviews,"★
  4.8
    ",Sound quality & battery 🔋 Backup,"Rating
Sound quality :- 4.8*
Battery Backup :- 5*
Looking & Material :- 5*
Bluetooth Connectivity :- 4.3*
Charging Speed :- 4*"
Stone 352 ,"
Sale price₹ 1,699",51% off,26 reviews,"★
  4.8
    ",,Good product
Stone 352 ,"
Sale price₹ 1,699",51% off,26 reviews,"★
  4.8
    ",Good Product,Nice Product ...Better sound quality with good bass
Stone 352 ,"
Sale price₹ 1,699",51% off,26 reviews,"★
  4.8
    ",Good,Very good product iam also happy
 Stone 650 ,"
Sale price₹ 1,999",60% off,107 reviews,"★
  4.9
    ",Great,Superb quality of music experience but expecting type-c port for charging from boAt at this price point
 Stone 650 ,"
Sale price₹ 1,999",60% off,107 reviews,"★
  4.9
    ",,boAt Stone 650
 Stone 650 ,"
Sale price₹ 1,999",60% off,107 reviews,"★
  4.9
    ",good music sound,very nice.
 Stone 650 ,"
Sale price₹ 1,999",60% off,107 reviews,"★
  4.9
    ",Excellent build quality and Great sound quality,Really awesome 10 watt speaker at such cheap price [ got it at ₹1350]
 Stone 650 ,"
Sale price₹ 1,999",60% off,107 reviews,"★
  4.9
    ",Best product.,"Good sound and bass quality. Reasonable price . Looks very stylish, flexible so very comfortable to use."
 Stone 650 ,"
Sale price₹ 1,999",60% off,107 reviews,"★
  4.9
    ",QUALITY PRODUCT,"Sound quality is great, its price range and features its very good.
Bass is perfect..
Battery backup is excellent. In 60 % volume it will last up to 8 hrs.
Black color looks premium.
The buttons feels a bit tight."
Stone 1200F ,"
Sale price₹ 3,999",43% off,38 reviews,"★
  5.0
    ",Boat Bluetooth Speaker 1200F,"I love the experience.   Its smart, good looking and the sound is just awesome.   Its really worth the money.."
Stone 1200F ,"
Sale price₹ 3,999",43% off,38 reviews,"★
  5.0
    ",,Good
Stone 1200F ,"
Sale price₹ 3,999",43% off,38 reviews,"★
  5.0
    ",boAt Stone 1200F,This is one of my favorite speaker in recent times. It has very good sound quality and bass is outstanding as usual from boAt.
Stone 1200F ,"
Sale price₹ 3,999",43% off,38 reviews,"★
  5.0
    ",WORTH FOR MONEY,"Amazing Bass, Loud Speaker under 3,000 ₹, Long Carrying Strap."
Stone 1200F ,"
Sale price₹ 3,999",43% off,38 reviews,"★
  5.0
    ",,Good product
Stone 1200F ,"
Sale price₹ 3,999",43% off,38 reviews,"★
  5.0
    ",,boAt Stone 1200F
Stone 135 ,"
Sale price₹ 899",55% off,17 reviews,"★
  4.9
    ",,"Stone 135 | Portable Bluetooth Speaker with up to 11 HRS Playback & 5W RMS Immersive Sound, IPX 4 Water Resistant"
Stone 135 ,"
Sale price₹ 899",55% off,17 reviews,"★
  4.9
    ",Nice,Awesome sound
Stone 135 ,"
Sale price₹ 899",55% off,17 reviews,"★
  4.9
    ",Nice,I love it.
Stone 135 ,"
Sale price₹ 899",55% off,17 reviews,"★
  4.9
    ",amazing & awesome bass & sound,its so good so obiuosly yoncan take it and ya it continues for 11 hrs.
Stone 135 ,"
Sale price₹ 899",55% off,17 reviews,"★
  4.9
    ",Good,Very nice product
Stone 135 ,"
Sale price₹ 899",55% off,17 reviews,"★
  4.9
    ",,Excellent sound
 Stone 180 ,"
Sale price₹ 939",62% off,20 reviews,"★
  4.8
    ",Superb 👌👌👌👌,Superb 👌👌👌👌
 Stone 180 ,"
Sale price₹ 939",62% off,20 reviews,"★
  4.8
    ",,"boAt Stone 180 | Bluetooth Speaker with 5W signature sound, Up to 8 Hours of Playtime, IPX7 Sweat & Water Resistance"
 Stone 180 ,"
Sale price₹ 939",62% off,20 reviews,"★
  4.8
    ",Performance,"Best quality of sound and battery...
(FULL PAISA WASOOL)"
 Stone 180 ,"
Sale price₹ 939",62% off,20 reviews,"★
  4.8
    ",,Good
 Stone 180 ,"
Sale price₹ 939",62% off,20 reviews,"★
  4.8
    ",boat 180,good
 Stone 180 ,"
Sale price₹ 939",62% off,20 reviews,"★
  4.8
    ",Excellent,It’s good product 👍
 Rugby Plus ,"
Sale price₹ 1,999",60% off,11 reviews,"★
  4.6
    ",,boAt Rugby Plus
 Rugby Plus ,"
Sale price₹ 1,999",60% off,11 reviews,"★
  4.6
    ",Good,Excellent performance
 Rugby Plus ,"
Sale price₹ 1,999",60% off,11 reviews,"★
  4.6
    ",Boat Rugby Plus,"Superb one. Full satsfaction of purchase. In such a low range of price, definately you will experience all the features of the product to be true and mindblowing...."
 Rugby Plus ,"
Sale price₹ 1,999",60% off,11 reviews,"★
  4.6
    ",,It's awesome
 Rugby Plus ,"
Sale price₹ 1,999",60% off,11 reviews,"★
  4.6
    ",GOOD,"INTRODUCTION AND SIGNING OFF WOUND IS SO LOUDER, PERFORMANCE IS GOOD"
 Rugby Plus ,"
Sale price₹ 1,999",60% off,11 reviews,"★
  4.6
    ",Nice product,"I am satisfied with the sound quality of boat rugby plus 
Thanks"
 Stone 1000v2 ,"
Sale price₹ 3,999",43% off,7 reviews,"★
  5.0
    ",Fantastic product,Very good product in this price range..
 Stone 1000v2 ,"
Sale price₹ 3,999",43% off,7 reviews,"★
  5.0
    ",Outstanding,Outstanding Product
 Stone 1000v2 ,"
Sale price₹ 3,999",43% off,7 reviews,"★
  5.0
    ",Awesome,Works like a charm. Good sound quality. Visually more attractive than v1.
 Stone 1000v2 ,"
Sale price₹ 3,999",43% off,7 reviews,"★
  5.0
    ",Boat stone 1000 v2,Great
 Stone 1000v2 ,"
Sale price₹ 3,999",43% off,7 reviews,"★
  5.0
    ",Quality sound,Amazing sound quality.totally premium.&.affordable.
 Stone 1000v2 ,"
Sale price₹ 3,999",43% off,7 reviews,"★
  5.0
    ",,boAt Stone 1000v2
 Stone Grenade ,"
Sale price₹ 1,499",62% off,92 reviews,"★
  4.9
    ",,Nice product
 Stone Grenade ,"
Sale price₹ 1,499",62% off,92 reviews,"★
  4.9
    ",,"boAt Stone Grenade | Bluetooth Speakers with 1.75” Full-range Drivers, High Fidelity Stereo Sound, Up to 7hrs Nonstop Playback"
 Stone Grenade ,"
Sale price₹ 1,499",62% off,92 reviews,"★
  4.9
    ",Very nice quality and where is amazing flight best product on the boat granite,Very nice quality and where is amazing flight best
 Stone Grenade ,"
Sale price₹ 1,499",62% off,92 reviews,"★
  4.9
    ",Best quality,Sound like a good
 Stone Grenade ,"
Sale price₹ 1,499",62% off,92 reviews,"★
  4.9
    ",Very good,Add usb hub also
 Stone Grenade ,"
Sale price₹ 1,499",62% off,92 reviews,"★
  4.9
    ",,boAt Stone Grenade
 Stone 190 ,"
Sale price₹ 1,299",57% off,108 reviews,"★
  4.8
    ",Sound quality,Great audio. Quite loud.
 Stone 190 ,"
Sale price₹ 1,299",57% off,108 reviews,"★
  4.8
    ",,"boAt Stone 190 | Wireless Portable Speaker with 52mm Dynamic Driver, Up to 4hrs Nonstop Playback, IPX 6 Water Resistant"
 Stone 190 ,"
Sale price₹ 1,299",57% off,108 reviews,"★
  4.8
    ",,The product is amazing
 Stone 190 ,"
Sale price₹ 1,299",57% off,108 reviews,"★
  4.8
    ",,Good
 Stone 190 ,"
Sale price₹ 1,299",57% off,108 reviews,"★
  4.8
    ",WONDERFULL,WONDERFULL
 Stone 190 ,"
Sale price₹ 1,299",57% off,108 reviews,"★
  4.8
    ",,boAt Stone 190
Stone 352 ,"
Sale price₹ 1,699",51% off,26 reviews,"★
  4.8
    ",,"Stone 352 | Wireless Portable Bluetooth Speaker with 10W boAt Signature Sound, Up to 12hrs Nonstop Playback"
Stone 352 ,"
Sale price₹ 1,699",51% off,26 reviews,"★
  4.8
    ",,Great product
Stone 352 ,"
Sale price₹ 1,699",51% off,26 reviews,"★
  4.8
    ",Sound quality & battery 🔋 Backup,"Rating
Sound quality :- 4.8*
Battery Backup :- 5*
Looking & Material :- 5*
Bluetooth Connectivity :- 4.3*
Charging Speed :- 4*"
Stone 352 ,"
Sale price₹ 1,699",51% off,26 reviews,"★
  4.8
    ",,Good product
Stone 352 ,"
Sale price₹ 1,699",51% off,26 reviews,"★
  4.8
    ",Good Product,Nice Product ...Better sound quality with good bass
Stone 352 ,"
Sale price₹ 1,699",51% off,26 reviews,"★
  4.8
    ",Good,Very good product iam also happy
