Row ID,Order ID,Order Date,Ship Date,Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sales,Quantity,Discount,Profit
1,CA-2016-152156,11-08-2016,11-11-2016,Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,261.96,2,0,41.9136
2,CA-2016-152156,11-08-2016,11-11-2016,Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,731.94,3,0,219.582
4,US-2015-108966,10-11-2015,10/18/2015,Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Furniture,957.5775,5,0.45,-383.031
6,CA-2014-115812,06-09-2014,6/14/2014,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,48.86,7,0,14.1694
11,CA-2014-115812,06-09-2014,6/14/2014,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,1706.184,9,0.2,85.3092
24,US-2017-156909,7/16/2017,7/18/2017,Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,71.372,2,0.3,-1.0196
25,CA-2015-106320,9/25/2015,9/30/2015,Standard Class,Consumer,United States,Orem,Utah,84057,West,Furniture,1044.63,3,0,240.2649
28,US-2015-150630,9/17/2015,9/21/2015,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,3083.43,7,0.5,-1665.0522
30,US-2015-150630,9/17/2015,9/21/2015,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,124.2,3,0.2,15.525
37,CA-2016-117590,12-08-2016,12-10-2016,First Class,Corporate,United States,Richardson,Texas,75080,Central,Furniture,190.92,5,0.6,-147.963
39,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,532.3992,3,0.32,-46.9764
40,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,212.058,3,0.3,-15.147
52,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,6.16,2,0,2.9568
53,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,89.99,1,0,17.0981
58,CA-2016-111682,6/17/2016,6/18/2016,First Class,Consumer,United States,Troy,New York,12180,East,Furniture,319.41,5,0.1,7.098
66,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,79.76,4,0,22.3328
67,US-2015-164175,4/30/2015,05-05-2015,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,213.115,5,0.3,-15.2225
73,US-2015-134026,4/26/2015,05-02-2015,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,831.936,8,0.2,-114.3912
74,US-2015-134026,4/26/2015,05-02-2015,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,97.04,2,0.2,1.213
77,US-2017-118038,12-09-2017,12-11-2017,First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,9.708,3,0.6,-5.8248
79,US-2014-147606,11/26/2014,12-01-2014,Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,19.3,5,0.6,-14.475
86,CA-2017-140088,5/28/2017,5/30/2017,Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,301.96,2,0,33.2156
94,CA-2015-149587,1/31/2015,02-05-2015,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,53.34,3,0,16.5354
97,CA-2017-161018,11-09-2017,11-11-2017,Second Class,Home Office,United States,New York City,New York,10009,East,Furniture,96.53,7,0,40.5426
105,US-2015-156867,11/13/2015,11/17/2015,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Furniture,102.36,3,0.2,-3.8385
111,CA-2017-146780,12/25/2017,12/30/2017,Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,41.96,2,0,10.9096
118,CA-2015-110457,03-02-2015,03-06-2015,Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,787.53,3,0,165.3813
120,CA-2016-103730,06-12-2016,6/15/2016,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,47.04,3,0,18.3456
125,US-2014-152030,12/26/2014,12/28/2014,Second Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,600.558,3,0.3,-8.5794
126,US-2014-134614,9/20/2014,9/25/2014,Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central,Furniture,617.7,6,0.5,-407.682
129,US-2016-125969,11-06-2016,11-10-2016,Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,81.424,2,0.2,-9.1602
130,US-2016-125969,11-06-2016,11-10-2016,Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,238.56,3,0,26.2416
140,CA-2016-145583,10/13/2016,10/19/2016,Standard Class,Consumer,United States,Roseville,California,95661,West,Furniture,43.12,14,0,20.6976
141,CA-2016-110366,09-05-2016,09-07-2016,Second Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,82.8,2,0.2,10.35
147,CA-2014-110072,10/22/2014,10/28/2014,Standard Class,Home Office,United States,Newark,Ohio,43055,East,Furniture,93.888,4,0.2,12.9096
150,CA-2016-114489,12-05-2016,12-09-2016,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Furniture,1951.84,8,0,585.552
158,CA-2014-104269,03-01-2014,03-06-2014,Second Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,457.568,2,0.2,51.4764
168,CA-2014-139892,09-08-2014,09-12-2014,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Furniture,1740.06,9,0.3,-24.858
174,CA-2014-118962,08-05-2014,08-09-2014,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,340.144,7,0.2,21.259
178,US-2015-101511,11/21/2015,11/23/2015,Second Class,Consumer,United States,Newark,Ohio,43055,East,Furniture,396.802,7,0.3,-11.3372
190,CA-2015-102281,10-12-2015,10/14/2015,First Class,Home Office,United States,New York City,New York,10035,East,Furniture,899.136,4,0.2,112.392
193,CA-2015-102281,10-12-2015,10/14/2015,First Class,Home Office,United States,New York City,New York,10035,East,Furniture,626.352,3,0.2,46.9764
202,CA-2014-133690,08-03-2014,08-05-2014,First Class,Consumer,United States,Denver,Colorado,80219,West,Furniture,218.75,2,0.5,-161.875
205,CA-2017-126382,06-03-2017,06-07-2017,Standard Class,Corporate,United States,Franklin,Tennessee,37064,South,Furniture,35.168,7,0.2,9.6712
214,CA-2015-146262,01-02-2015,01-09-2015,Standard Class,Corporate,United States,Medina,Ohio,44256,East,Furniture,452.45,5,0.5,-244.323
223,CA-2015-169397,12/24/2015,12/27/2015,First Class,Consumer,United States,Dublin,Ohio,43017,East,Furniture,72.704,4,0.2,19.0848
227,CA-2015-163055,08-09-2015,8/16/2015,Standard Class,Corporate,United States,Detroit,Michigan,48227,Central,Furniture,622.45,5,0,136.939
229,US-2015-145436,2/28/2015,03-04-2015,Standard Class,Consumer,United States,Columbia,Tennessee,38401,South,Furniture,161.568,2,0.2,-28.2744
230,US-2015-145436,2/28/2015,03-04-2015,Standard Class,Consumer,United States,Columbia,Tennessee,38401,South,Furniture,389.696,8,0.2,43.8408
